gbifid	datasetkey	species	scientificname	countrycode	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	day	month	year	basisofrecord	institutioncode	issue
86304219	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.886445	35.498087	1000	NA	NA	NA	20	4	1988	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304260	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	PS	31.494389	35.306302	1000	NA	NA	NA	16	4	1988	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES"
86304266	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	PS	31.482653	35.31997	1000	NA	NA	NA	20	4	1988	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES"
86304269	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	PS	31.441744	34.893882	1000	NA	NA	NA	15	4	1988	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES"
86304376	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.818855	35.481847	1000	NA	NA	NA	18	3	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304416	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.508797	35.413847	1000	NA	NA	NA	4	4	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304440	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.930038	35.687478	1000	NA	NA	NA	5	4	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304488	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.906692	35.661698	1000	NA	NA	NA	3	4	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304528	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.987805	35.671745	1000	NA	NA	NA	13	4	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304563	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.92801	35.457596	1000	NA	NA	NA	10	4	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304593	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.944419	35.69932	1000	NA	NA	NA	5	4	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304604	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	33.075835	35.480508	1000	NA	NA	NA	24	4	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304623	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	33.296913	35.710963	1000	NA	NA	NA	12	5	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304628	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.901186	35.687322	1000	NA	NA	NA	10	4	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304639	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.892991	35.707583	1000	NA	NA	NA	12	4	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304652	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.9617	35.659842	1000	NA	NA	NA	18	4	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304667	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.901305	35.655257	1000	NA	NA	NA	31	3	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
86304673	8582b50a-f762-11e1-a439-00145eb45e9a	Triticum dicoccoides	Triticum dicoccoides (Asch. & Graebn.) Schweinf.	IL	32.904022	35.652064	1000	NA	NA	NA	30	3	1989	OBSERVATION	INPA	"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
